ID de Factura,Sucursal,Tipo Cliente,Genero,Categoria,Precio Unitario,Cantidad,Impuesto 5%,Total,Fecha,Hora,Pago,Costo de Bienes Vendidos,Porcentaje de Margen Bruto,Ingreso Bruto
750-67-8428,TROMPILLO,Miembro,Femenino,Bebidas,74.69,7,26.1415,548.9715,1/5/2019,13:08,Monedero electrónico,522.83,4.761904762,26.1415
226-31-3081,TROMPILLO,Normal,Femenino,Despensa y Abarrotes,15.28,5,3.82,80.22,3/8/2019,10:29:00,Efectivo,76.4,4.761904762,3.82
631-41-3108,REYES,Normal,Masculino,Cuidado Personal,46.33,7,16.2155,340.5255,3/3/2019,13:23,Tarjeta de credito,324.31,4.761904762,16.2155
123-19-1176,REYES,Miembro,Masculino,Bebidas,58.22,8,23.288,489.048,1/27/2019,20:33,Monedero electrónico,465.76,4.761904762,23.288
373-73-7910,REYES,Normal,Masculino,Panaderia,86.31,7,30.2085,634.3785,2/8/2019,10:37,Monedero electrónico,604.17,4.761904762,30.2085
699-14-3026,EQUIPETROL,Normal,Masculino,Snack y Dulces,85.39,7,29.8865,627.6165,3/25/2019,18:30,Monedero electrónico,597.73,4.761904762,29.8865
355-53-5943,EQUIPETROL,Miembro,Femenino,Carnes y Embutidos,68.84,6,20.652,433.692,2/25/2019,14:36,Monedero electrónico,413.04,4.761904762,20.652
315-22-5665,TROMPILLO,Normal,Femenino,Lacteos,73.56,10,36.78,772.38,2/24/2019,11:38,Monedero electrónico,735.6,4.761904762,36.78
665-32-9167,EQUIPETROL,Miembro,Femenino,Despensa y Abarrotes,36.26,2,3.626,76.146,1/10/2019,17:15,Tarjeta de credito,72.52,4.761904762,3.626
692-92-5582,SUR,Miembro,Femenino,Bebidas,54.84,3,8.226,172.746,2/20/2019,13:27,Tarjeta de credito,164.52,4.761904762,8.226
351-62-0822,EQUIPETROL,Miembro,Femenino,Cuidado Personal,14.48,4,2.896,60.816,2/6/2019,18:07,Monedero electrónico,57.92,4.761904762,2.896
529-56-3974,SUR,Miembro,Masculino,Congelados,25.51,4,5.102,107.142,3/9/2019,17:03,Efectivo,102.04,4.761904762,5.102
365-64-0515,TROMPILLO,Normal,Femenino,Snack y Dulces,46.95,5,11.7375,246.4875,2/12/2019,10:25,Monedero electrónico,234.75,4.761904762,11.7375
252-56-2699,EQUIPETROL,Normal,Masculino,Congelados,43.19,10,21.595,453.495,2/7/2019,16:48,Monedero electrónico,431.9,4.761904762,21.595
829-34-3910,TROMPILLO,Normal,Femenino,Lacteos,71.38,10,35.69,749.49,3/29/2019,19:21,Efectivo,713.8,4.761904762,35.69
299-46-1805,SUR,Miembro,Femenino,Congelados,93.72,6,28.116,590.436,1/15/2019,16:19,Efectivo,562.32,4.761904762,28.116
656-95-9349,SUR,Miembro,Femenino,Panaderia,68.93,7,24.1255,506.6355,3/11/2019,11:03,Tarjeta de credito,482.51,4.761904762,24.1255
765-26-6951,SUR,Normal,Masculino,Snack y Dulces,72.61,6,21.783,457.443,1/1/2019,10:39,Tarjeta de credito,435.66,4.761904762,21.783
